country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Malta,MLT,MT,493559,1,0,"Epidemic intelligence, national daily data",2020-03-13
Russia,RUS,RU,145934460,10817,104,"Epidemic intelligence, national daily data",2020-05-10
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-03-07
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-04-20
Greece,GRC,EL,10724599,503,8,"Epidemic intelligence, national daily data",2020-10-17
Slovenia,SVN,SI,2080908,6,0,"Epidemic intelligence, national daily data",2020-06-21
Norway,NOR,NO,5328212,6,0,"Epidemic intelligence, national daily data",2020-07-08
Netherlands,NLD,NL,17282163,508,5,"Epidemic intelligence, national daily data",2020-08-23
Bulgaria,BGR,BG,7000039,196,2,"Epidemic intelligence, national daily data",2020-07-19
Hungary,HUN,HU,9772756,1478,31,"Epidemic intelligence, national daily data",2020-10-19
Norway,NOR,NO,5328212,6,0,"Epidemic intelligence, national daily data",2020-06-24
Slovakia,SVK,SK,5450421,188,0,"Epidemic intelligence, national daily data",2020-09-16
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-01-10
Russia,RUS,RU,145934460,4551,74,"Epidemic intelligence, national daily data",2020-08-07
Serbia,SRB,RS,6963764,65,1,"Epidemic intelligence, national daily data",2020-09-30
Spain,ESP,ES,46937060,383,4,"Epidemic intelligence, national daily data",2020-07-08
Azerbaijan,AZE,AZ,10139175,387,4,"Epidemic intelligence, national daily data",2020-06-15
Ireland,IRL,IE,4904240,839,33,"Epidemic intelligence, national daily data",2020-04-12
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-03-23
Latvia,LVA,LV,1919968,1,0,"Epidemic intelligence, national daily data",2020-09-22
Ireland,IRL,IE,4904240,0,0,"Epidemic intelligence, national daily data",2020-01-19
Latvia,LVA,LV,1919968,15,0,"Epidemic intelligence, national daily data",2020-04-20
Armenia,ARM,AM,2963234,554,15,"Epidemic intelligence, national daily data",2020-07-16
Sweden,SWE,SE,10230185,119,1,"Epidemic intelligence, national daily data",2020-03-18
Serbia,SRB,RS,6963764,236,9,"Epidemic intelligence, national daily data",2020-08-10
Iceland,ISL,IS,356991,20,1,"Epidemic intelligence, national daily data",2020-03-24
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-05-19
Moldova,MDA,MD,4033963,1062,17,"Epidemic intelligence, national daily data",2020-10-08
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-08-23
Latvia,LVA,LV,1919968,9,0,"Epidemic intelligence, national daily data",2020-08-29
Ireland,IRL,IE,4904240,255,10,"Epidemic intelligence, national daily data",2020-03-27
Norway,NOR,NO,5328212,0,0,"Epidemic intelligence, national daily data",2020-01-28
Portugal,PRT,PT,10276617,0,0,"Epidemic intelligence, national daily data",2020-01-07
Ukraine,UKR,UA,43733759,429,10,"Epidemic intelligence, national daily data",2020-05-30
Turkey,TUR,TR,82003882,3013,76,"Epidemic intelligence, national daily data",2020-04-05
Gibraltar,GIB,GI,33691,0,0,"Epidemic intelligence, national daily data",2020-02-28
Greece,GRC,EL,10724599,11,0,"Epidemic intelligence, national daily data",2020-03-10
Guernsey,GGY,GG,64468,11,2,"Epidemic intelligence, national daily data",2020-04-17
Slovenia,SVN,SI,2080908,1,0,"Epidemic intelligence, national daily data",2020-06-23
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-02-15
Georgia,GEO,GE,3989175,15,0,"Epidemic intelligence, national daily data",2020-08-22
Serbia,SRB,RS,6963764,292,7,"Epidemic intelligence, national daily data",2020-04-07
Croatia,HRV,HR,4076246,0,0,"Epidemic intelligence, national daily data",2020-02-07
Iceland,ISL,IS,356991,1,0,"Epidemic intelligence, national daily data",2020-07-08
Faroes,,,48865,0,0,"Epidemic intelligence, national daily data",2020-07-25
Spain,ESP,ES,46937060,5745,757,"Epidemic intelligence, national daily data",2020-04-09
Greece,GRC,EL,10724599,156,5,"Epidemic intelligence, national daily data",2020-04-22
United Kingdom,GBR,UK,66647112,413,10,"Epidemic intelligence, national daily data",2020-07-21
Romania,ROU,RO,19414458,325,10,"Epidemic intelligence, national daily data",2020-06-28
